id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
168,CoRoT-7 d,522,17.142 Earths,11.728,2022
169,CoRoT-8 b,1050,0.22 Jupiters,14.792,2010
170,CoRoT-9 b,1347,0.84 Jupiters,13.637,2009
171,CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
172,CT Chamaleontis b,622,17 Jupiters,12.335,2007
173,DE Canum Venaticorum b,100,12.0293 Jupiters,12.956,2018
174,DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.5577,2013
175,CoRoT-24 b,1930,5.7 Earths,15.383,2014
176,CoRoT-24 c,1930,28 Earths,15.383,2014
177,CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
178,CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
179,CoRoT-27 b,3296,10.39 Jupiters,15.774,2014
180,CoRoT-28 b,2499,0.484 Jupiters,13.783,2015
181,CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
182,CoRoT-2 b,696,3.47 Jupiters,12.516,2008
183,CoRoT-30 b,3367,2.9 Jupiters,15.571,2020
184,CoRoT-31 b,6543,0.84 Jupiters,15.479,2020
185,CoRoT-35 b,3664,1.1 Jupiters,15.635,2022
186,CoRoT-36 b,3020,0.68 Jupiters,13.126,2022
187,CoRoT-3 b,2508,21.66 Jupiters,13.448,2008
188,CoRoT-4 b,2370,0.72 Jupiters,13.652,2008
189,CoRoT-5 b,2879,0.467 Jupiters,14.043,2009
190,CoRoT-6 b,2105,2.96 Jupiters,13.961,2009
191,CoRoT-7 b,522,4.07661 Earths,11.728,2009
192,CoRoT-7 c,522,8.4 Earths,11.728,2009
193,CoRoT-7 d,522,17.142 Earths,11.728,2022
194,CoRoT-8 b,1050,0.22 Jupiters,14.792,2010
195,CoRoT-9 b,1347,0.84 Jupiters,13.637,2009
196,CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
197,CT Chamaleontis b,622,17 Jupiters,12.335,2007
198,DE Canum Venaticorum b,100,12.0293 Jupiters,12.956,2018
199,DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.5577,2013
200,CoRoT-24 b,1930,5.7 Earths,15.383,2014
201,CoRoT-24 c,1930,28 Earths,15.383,2014
202,CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
203,CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
204,CoRoT-27 b,3296,10.39 Jupiters,15.774,2014
205,CoRoT-28 b,2499,0.484 Jupiters,13.783,2015
206,CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
207,CoRoT-2 b,696,3.47 Jupiters,12.516,2008
208,CoRoT-30 b,3367,2.9 Jupiters,15.571,2020
209,CoRoT-31 b,6543,0.84 Jupiters,15.479,2020
210,CoRoT-35 b,3664,1.1 Jupiters,15.635,2022
211,CoRoT-36 b,3020,0.68 Jupiters,13.126,2022
212,CoRoT-3 b,2508,21.66 Jupiters,13.448,2008
213,CoRoT-4 b,2370,0.72 Jupiters,13.652,2008
214,CoRoT-5 b,2879,0.467 Jupiters,14.043,2009
215,CoRoT-6 b,2105,2.96 Jupiters,13.961,2009
216,CoRoT-7 b,522,4.07661 Earths,11.728,2009
217,CoRoT-7 c,522,8.4 Earths,11.728,2009
218,CoRoT-7 d,522,17.142 Earths,11.728,2022
219,CoRoT-8 b,1050,0.22 Jupiters,14.792,2010
220,CoRoT-9 b,1347,0.84 Jupiters,13.637,2009
221,CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
222,CT Chamaleontis b,622,17 Jupiters,12.335,2007
223,DE Canum Venaticorum b,100,12.0293 Jupiters,12.956,2018
224,DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.5577,2013
225,CoRoT-24 b,1930,5.7 Earths,15.383,2014
226,CoRoT-24 c,1930,28 Earths,15.383,2014
227,CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
228,CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
229,CoRoT-27 b,3296,10.39 Jupiters,15.774,2014
230,CoRoT-28 b,2499,0.484 Jupiters,13.783,2015
231,CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
232,CoRoT-2 b,696,3.47 Jupiters,12.516,2008
233,CoRoT-30 b,3367,2.9 Jupiters,15.571,2020
234,CoRoT-31 b,6543,0.84 Jupiters,15.479,2020
235,CoRoT-35 b,3664,1.1 Jupiters,15.635,2022
236,CoRoT-36 b,3020,0.68 Jupiters,13.126,2022
237,CoRoT-3 b,2508,21.66 Jupiters,13.448,2008
238,CoRoT-4 b,2370,0.72 Jupiters,13.652,2008
239,CoRoT-5 b,2879,0.467 Jupiters,14.043,2009
240,CoRoT-6 b,2105,2.96 Jupiters,13.961,2009
241,CoRoT-7 b,522,4.07661 Earths,11.728,2009
242,CoRoT-7 c,522,8.4 Earths,11.728,2009
243,CoRoT-7 d,522,17.142 Earths,11.728,2022
244,CoRoT-8 b,1050,0.22 Jupiters,14.792,2010
245,CoRoT-9 b,1347,0.84 Jupiters,13.637,2009
246,CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
247,CT Chamaleontis b,622,17 Jupiters,12.335,2007
248,DE Canum Venaticorum b,100,12.0293 Jupiters,12.956,2018
249,DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.5577,2013
